Decision_ID,Gate,Decision_Group,Question,Option_A,Option_B,Option_C,Recommended_Choice,Effect_on_Initial_Project_Idea,Dependencies,Your_Choice,Your_Notes
R01 / D04 remainder,M4 Effect algebra,"Effect order, statuses, protection, and immunity",How should a move's ordered effects and named statuses combine when several rules touch the same target?,Closed ordered algebra: Resolve effects in authored declaration order inside one atomic action. A named status has one instance; reapplication refreshes duration and keeps the stronger magnitude. Explicitly incompatible statuses reject or replace according to an engine table. Protection and immunity are checked before affected effects. Pros: Easy to preview and explain; No unbounded status pileups; Stable replay and save semantics. Cons: Less room for stack-heavy builds; Engine must define each incompatibility.,"Capped additive stacks: Resolve in declaration order, but allow repeated named statuses to add magnitude or stack count up to an engine cap; duration refreshes on each application. Pros: Supports combo-focused builds; More granular status progression. Cons: Harder UI and balance; More state and edge cases; Split attacks can exploit stacking.","Priority-normalized effects: Ignore authored order for conflicting categories. The engine sorts effects by global priority, and a newly applied status replaces the previous instance of the same family. Pros: Global behavior is uniform; Replacement is simple. Cons: Editor order can mislead creators; Global priority changes affect many moves; Less expressive multi-effect moves.",A,"The original maker remains data driven: creators choose from a closed effect catalog, while the engine owns composition rules. This makes the editor predictable and keeps project data from embedding code.","Builds on approved sequential event resolution, atomic action commits, integer stages, and the M3 RNG draw policy. Gates representative status moves in M4.",A,Approved recommended closed ordered effect/status algebra.
R02 / D05 remainder,M6 Mix runtime,Mixed-source cooldown penalty,How much extra cooldown should each source receive when a mixed move reaches attempted execution?,Multiplicative 3/2: Each source receives ceil(3 x ordinary cooldown / 2). Mixed cooldown begins at attempted mixed execution. The engine permits mixed deadlines up to 5400 ticks and rejects overflow before effects commit. Pros: Proportional and easy to calculate; Always exceeds each legal source cooldown; Works across the full 60-3600 range. Cons: Very slow sources can be locked for a long time; Requires a distinct mix ceiling.,"Add 60 ticks: Each source receives ordinary cooldown plus 60 ticks, with a 3660-tick mixed ceiling. Pros: Simple mental model; Mild punishment for slow moves. Cons: Large relative penalty on fast moves; Almost irrelevant on slow moves; Balance changes with pacing selection.","Cooldown tiers: Map the ordinary cooldown into engine tiers, such as +60, +180, +600, or +1800 ticks, then use a tier-specific mixed ceiling. Pros: Fine balance control; Can protect extreme values. Cons: Harder to communicate; Boundary cliffs; More engine constants to maintain.",A,"Mixing stays a deliberate tactical commitment instead of a free combination button. The player can still tune the whole game's pacing with 30, 60, or 120 ticks, while the penalty remains proportional to the selected sources.","Uses the approved attempted-execution origin, free pre-execution actor cancellation, full-cost invalid-target fizzle, and checked deadline arithmetic.",A,Approved recommended 3/2 mixed-source cooldown package.
R03 / D06,M6 Mix progression,"Harmony scale, growth, and battle benefits","How should individual Harmony grow, what counts as success, and how should it improve a learned mix?","Linear 0-1000 proficiency: Start at 0. After a valid mixed execution that produces at least one intended gameplay effect, add 25 up to 1000. Scale up to +500 accuracy units and +625 critical units linearly; ordinary critical chance still clamps at 2500. Pros: Transparent progress; Exact integer math; Forty meaningful successes reach the cap. Cons: Steady growth may feel mechanical; A successful miss gives no growth.",Six mastery tiers: Advance through six thresholds using successful executions. Each tier grants a fixed accuracy and critical package. Pros: Clear milestones; Easy celebratory UI. Cons: Power jumps at thresholds; Progress between tiers can feel invisible.,Diminishing lookup curve: Use a bounded table with fast early growth and small late gains; benefits are read from engine-owned breakpoints. Pros: Early experimentation feels rewarding; Long mastery tail. Cons: Harder to predict; More table data and UI explanation.,A,The original discovery-and-training loop gains long-term ownership: two monsters can know the same mix but perform it differently because their histories differ.,Requires the shared 0-10000 probability scale and ordinary critical cap. Witness/training semantics in R06 determine when a recipe first becomes usable.,B,Use six mastery tiers instead of linear Harmony; exact approved defaults are recorded in docs/DECISIONS.md.
R04 / D07,M5 Multi-type attacks,Component allocation and rounding,How should a move's finite power be divided among two or more type components without losing or inventing power?,"Canonical quotient and remainder: Allow 1-4 distinct type components. Divide total power by the component count. Assign the remainder one point at a time in canonical TypeId order, then floor after each component's modifier chain before summing. Pros: Never loses base power; Simple integers; Canonical across content order. Cons: Low TypeIds receive the occasional extra point; Final damage need not equal unsplit damage.",Exact rational carry: Keep every component as an exact rational share through all modifiers and floor only the final aggregate. Pros: Minimal early rounding; Strong conservation property. Cons: More complex arithmetic bounds; Harder component-by-component previews; Less natural component outcomes.,Independent truncation: Floor total power divided by the component count for every component and discard the remainder. Pros: Very simple; All components start equal. Cons: Loses authored power; Extra components can reduce output unexpectedly.,A,The initial idea can support genuinely mixed attacks rather than a cosmetic second label. Creator previews can show the exact component breakdown before playtest.,Gates M5 and feeds R05 STAB. Duplicate types remain rejected; zero allocated power remains zero.,A,Approved recommended canonical quotient/remainder allocation.
R05 / D08,M5 Multi-type attacks,Same-type attack bonus for components,"When an actor's type matches one component of a multi-type move, where should the same-type bonus apply?",Per matching component at 3/2: Multiply a component by 3/2 exactly once when any of the actor's distinct current types matches it. Multiple actor-type matches never stack on the same component. Pros: Local and explainable; Supports partial specialization; No duplicate-type stacking. Cons: Requires per-component UI; Mixed totals are less obvious at a glance.,"Attack-wide 3/2: If any component matches any actor type, apply 3/2 to the final aggregate. Pros: Simple summary number; Strong reward for one matching component. Cons: Boosts unrelated components; Encourages token matching components.",No STAB on mixed attacks: Keep 3/2 STAB for ordinary single-type moves and suppress it for every mixed output. Pros: Mix balance is isolated; Few calculations. Cons: Actor typing matters less during the signature system; Mixed attacks may feel detached from their users.,A,Creature typing remains strategically meaningful after mixing. A monster can specialize in part of a discovered attack without making unrelated components stronger.,Applies after R04 allocation and before final component aggregation. Type changes and duplicate actor types must follow one engine rule.,A,Approved recommended per-component 3/2 STAB.
R06 / D09 remainder,M6 Discovery and training,"Witnesses, training access, and outcome commits","Who observes a mix, when is it recorded, and what must happen before that observer can use it?","Active conscious witness plus facility training: An active conscious combatant that knows both sources observes any valid mix execution, including a miss but excluding cancellation/fizzle. Allies and enemies qualify. Merge observation at terminal battle results, including loss and escape. Unlock at a designated trainer by paying one bounded training token while both sources are known. Pros: Strong connection between battle and world; Losses can still teach; Costs and requirements are explicit. Cons: Requires trainer access and a token economy; Benched party members do not learn.","Whole conscious party and automatic unlock: Every conscious owned party member that knows both sources observes and immediately unlocks the recipe after the battle, with no separate cost. Pros: Low friction; Party-wide experimentation. Cons: Training feature largely disappears; Knowledge spreads quickly; Enemy witnessing is asymmetric.",All-owned observation plus field training: Every owned monster that knows both sources receives observation remotely; the player may spend a training item anywhere outside battle to unlock it. Pros: Convenient roster management; No travel requirement. Cons: Weakens the meaning of witnessing; Large fan-out updates; Harder fiction to explain.,A,"The original idea's learn-by-seeing system becomes a concrete adventure loop: witness in battle, return to a service, invest a resource, then practice for Harmony.",Uses unordered distinct source pairs and retained history. Must define same-action KO ordering and battle-result merge behavior.,A,Approved recommended active-witness and facility-training package.
R07 / D11,M7 Progression,"Level 1-200 XP, stats, and evolution",Which engine-owned progression structure should scale safely through level 200?,Explicit monotone thresholds: Ship an engine-owned 200-entry cumulative XP table and bounded integer stat tables/functions validated at every level. Cap stored XP at the level-200 threshold. Evolution uses explicit level/item/event predicates; level-up HP increases by the max-HP delta. Pros: Fully auditable; No overflow surprises; Easy boundary tests. Cons: Large table to balance; Curve changes require a ruleset version.,Single polynomial family: Use one checked polynomial XP curve and one formula family for stats across levels 1-200. Pros: Compact implementation; Smooth mathematical curve. Cons: Harder to tune locally; Late-level growth can dominate; Formula mistakes have broad impact.,"Segmented curves: Use separate early, middle, late, and endgame formulas joined at fixed breakpoints. Pros: Strong pacing control by campaign phase; Fewer entries than a full table. Cons: Breakpoint cliffs; More formula branches; Harder creator explanation.",A,"The maker can author species growth parameters and evolution conditions inside safe ranges, while the engine guarantees that every level from 1 through 200 is valid.",Consumes M4 combat bounds and gates capture/party integration in M7. Exact tables still require balance playtesting after the structural choice.,A,Approved recommended explicit monotone level-1–200 table structure.
R08 / D12,M7 Capture,"Capture action, eligibility, and destination",How should capture consume time and inventory while preventing duplication and full-roster loss?,"Action, item, and bounded probability: Capture is a battle action using one eligible item. Reject before consumption when the target is restricted or neither party nor storage has a legal destination. On attempted execution, consume the item; failure spends the turn. Success atomically creates one individual and routes party first, then storage. Pros: Tactical and familiar; Atomic ownership; Capacity failure is safe. Cons: Needs a tuned formula; Random failure can frustrate.",Deterministic condition threshold: Capture succeeds whenever visible target-state conditions meet an engine threshold; the item and action are consumed only on success. Pros: No bad-luck streaks; Clear planning. Cons: Can become a solved checklist; Less item tension; Threshold UI must be exact.,Scripted encounters only: Only designated encounters expose a deterministic capture command; ordinary battles never allow capture. Pros: Simple balance and story control; Small exploit surface. Cons: Weakens collection freedom; More authoring work; Does not fulfill free-form catching as strongly.,A,The demo promise of catching monsters becomes a normal battle tactic and connects battles to party building and the maker's encounter content.,Uses the shared probability scale and needs R09 capacity values. Battle completion and escape results remain preserved as distinct core outcomes.,A,Approved recommended action/item/probability capture transaction.
R09 / D13,M7 Economy and roster,"Party, storage, move, inventory, and currency caps","Which capacity model should define valid saves, rewards, transfers, and shop transactions?","Fixed bounded capacities: Set party size 6, equipped move slots 4, storage 1000 individuals, item stacks 999, distinct inventory entries 512, and currency 9,999,999. Reject transactions that cannot fit; route eligible captures party-first then storage; never grant partially. Pros: Simple UI and saves; Easy validation; Predictable atomic transactions. Cons: Large projects may hit fixed ceilings; Exact values become compatibility rules.","Engine-tiered unlocks: Start with smaller limits and let engine-defined upgrades expand party-adjacent storage, inventory, or stack caps within a fixed maximum. Pros: Capacity can support progression; Early UI stays compact. Cons: More save state and economy balance; Upgrade timing can block rewards.","Mostly unbounded storage: Keep party and equipped moves bounded, but allow storage and inventory collections to grow until a broad technical resource cap. Pros: Few player-facing capacity blocks; Supports very large catalogs. Cons: Harder performance guarantees; Save/UI growth; Technical caps feel arbitrary when reached.",A,"The maker UI can validate content against the same limits the game uses, and the player gets a compact party and readable command set.","Feeds R08 capture, M8 world rewards, M10 editor panels, and M11 save bounds.",B (modified),"Use Option A values as project defaults, but allow creators to author finite monotone capacity tiers within engine safety ceilings."
R10 / D14,M8 Overworld,"World grid, movement, encounters, and conflicts",What authoritative geometry and step semantics should drive exploration?,"Four-direction tile grid: Use integer x/y/elevation cells, four-direction authoritative moves, and explicit ramp/transition links. Resolve one move atomically; sample encounters once after entering an eligible cell. Actor conflicts use stable ActorId priority; interactions target the adjacent facing cell. Pros: Clear editor tools; Deterministic pathing; Strong 2.5D separation. Cons: No diagonal shortcuts; Curved spaces need visual decoration.",Eight-direction tile grid: Use the same cell/elevation model but permit diagonals with explicit corner-blocking rules and diagonal interaction targets. Pros: More fluid routes; Still tile authored. Cons: More collision and animation cases; Diagonal distance and encounters need extra rules.,Navigation grid over tile art: Creators paint tiles but traversal uses a finer navigation grid and explicit links. Pros: More natural movement shapes; Visual tiles need not equal movement cells. Cons: Harder maker UX; More pathfinding state; Less direct map-to-replay correspondence.,A,"The maker keeps tile-oriented authoring while the finished game can present depth, billboards, slopes, and smooth motion. Player pacing remains consistent and testable.","Builds on M2 content, M3 deterministic time, and M7 party state. Gates renderer integration and the end-to-end maker playtest.",Custom (Octopath-like),Free-ranging HD-2D movement on a baked navigation surface; deterministic distance-based encounters; sprint increases encounter accumulation.
